id_chamado,id_ativo,categoria_equipamento,filial_operacao,dt_abertura_chamado,sla_prometido_horas,tempo_atendimento_horas,custo_manutencao,status_ativo
CH-10045,EQP-150,Escavadeira Linha Amarela,Mogi das Cruzes,2026-03-11 22:00:00,72,20.3,1901.09,Em Operação
CH-10046,EQP-234,Trator Agro,Jundiaí,2026-03-31 12:00:00,48,6.5,1115.72,Em Operação
CH-10047,EQP-120,Trator Agro,Mogi das Cruzes,2026-01-04 12:00:00,24,31.7,10752.84,Em Operação
CH-10048,EQP-172,Utilitário Leve,Jundiaí,2026-05-06 01:00:00,24,45.5,4837.66,Em Manutenção
CH-10049,EQP-266,Utilitário Leve,Ribeirão Preto,2026-02-08 08:00:00,48,47.0,3668.19,Em Operação
CH-10050,EQP-117,Escavadeira Linha Amarela,Jundiaí,2026-06-12 07:00:00,24,27.7,8778.95,Em Manutenção
CH-10051,EQP-231,Utilitário Leve,Jundiaí,2026-05-09 06:00:00,24,21.5,10086.06,Em Manutenção
CH-10052,EQP-188,Escavadeira Linha Amarela,Cuiabá,2026-01-24 03:00:00,48,1.9,10391.13,Em Operação
CH-10053,EQP-159,Trator Agro,Uberlândia,2026-02-26 17:00:00,48,10.2,3997.17,Em Operação
CH-10054,EQP-113,Trator Agro,Uberlândia,2026-04-10 02:00:00,24,2.9,10270.88,Em Operação
CH-10055,EQP-108,Caminhão Heavy Duty,Ribeirão Preto,2026-03-11 05:00:00,72,99.6,778.93,Em Manutenção
CH-10056,EQP-189,Trator Agro,Ribeirão Preto,2026-02-10 11:00:00,72,4.4,881.04,Em Operação
CH-10057,EQP-152,Utilitário Leve,Uberlândia,2026-06-23 11:00:00,48,4.9,7595.17,Em Operação
CH-10058,EQP-229,Trator Agro,Cuiabá,2026-03-01 20:00:00,48,66.1,1038.34,Em Operação
CH-10059,EQP-183,Escavadeira Linha Amarela,Uberlândia,2026-04-18 07:00:00,72,86.4,4097.93,Em Operação
CH-10060,EQP-191,Trator Agro,Cuiabá,2026-02-26 21:00:00,24,43.6,8171.25,Em Operação
CH-10061,EQP-210,Caminhão Heavy Duty,Ribeirão Preto,2026-01-31 21:00:00,72,0.2,4246.02,Em Operação
CH-10062,EQP-287,Trator Agro,Mogi das Cruzes,2026-03-25 00:00:00,72,0.0,2401.32,Em Operação
CH-10063,EQP-298,Escavadeira Linha Amarela,Ribeirão Preto,2026-06-01 03:00:00,72,14.2,3591.8,Em Manutenção
CH-10064,EQP-271,Escavadeira Linha Amarela,Ribeirão Preto,2026-02-05 20:00:00,72,4.6,5653.63,Em Operação
CH-10065,EQP-107,Utilitário Leve,Jundiaí,2026-06-07 10:00:00,48,0.6,5862.01,Em Operação
CH-10066,EQP-274,Trator Agro,Jundiaí,2026-06-01 02:00:00,48,18.7,9461.1,Em Operação
CH-10067,EQP-134,Escavadeira Linha Amarela,Jundiaí,2026-04-18 12:00:00,24,86.0,9076.79,Em Operação
CH-10068,EQP-180,Caminhão Heavy Duty,Jundiaí,2026-04-16 16:00:00,24,11.7,5644.77,Em Operação
CH-10069,EQP-263,Utilitário Leve,Cuiabá,2026-06-07 21:00:00,24,32.5,10194.31,Em Operação
CH-10070,EQP-149,Caminhão Heavy Duty,Uberlândia,2026-03-27 21:00:00,24,31.7,1636.57,Em Operação
CH-10071,EQP-203,Trator Agro,Mogi das Cruzes,2026-05-15 09:00:00,72,8.7,3287.63,Em Operação
CH-10072,EQP-231,Trator Agro,Ribeirão Preto,2026-06-12 20:00:00,48,31.5,9987.32,Em Operação
CH-10073,EQP-101,Trator Agro,Cuiabá,2026-01-14 11:00:00,48,7.2,4722.53,Em Operação
CH-10074,EQP-233,Utilitário Leve,Mogi das Cruzes,2026-04-30 14:00:00,24,3.9,11779.82,Em Operação
CH-10075,EQP-153,Escavadeira Linha Amarela,Cuiabá,2026-05-18 20:00:00,24,36.3,5755.16,Em Operação
CH-10076,EQP-205,Utilitário Leve,Cuiabá,2026-03-21 09:00:00,72,3.6,9565.65,Em Operação
CH-10077,EQP-103,Caminhão Heavy Duty,Ribeirão Preto,2026-05-24 13:00:00,72,173.4,5006.99,Em Operação
CH-10078,EQP-153,Utilitário Leve,Uberlândia,2026-04-16 12:00:00,24,6.1,5271.96,Em Operação
CH-10079,EQP-290,Caminhão Heavy Duty,Jundiaí,2026-03-11 04:00:00,48,27.1,4779.73,Em Operação
CH-10080,EQP-245,Utilitário Leve,Uberlândia,2026-02-13 05:00:00,48,15.9,8713.18,Em Manutenção
CH-10081,EQP-143,Escavadeira Linha Amarela,Ribeirão Preto,2026-03-14 01:00:00,48,4.1,6705.96,Em Manutenção
CH-10082,EQP-261,Caminhão Heavy Duty,Ribeirão Preto,2026-02-14 21:00:00,24,0.8,11342.2,Em Operação
CH-10083,EQP-289,Trator Agro,Ribeirão Preto,2026-04-17 16:00:00,48,29.2,3235.42,Em Operação
CH-10084,EQP-113,Trator Agro,Mogi das Cruzes,2026-03-25 03:00:00,72,49.3,1476.58,Em Operação
CH-10085,EQP-194,Utilitário Leve,Uberlândia,2026-03-23 13:00:00,72,55.4,4901.16,Em Operação
CH-10086,EQP-147,Trator Agro,Uberlândia,2026-04-17 09:00:00,24,19.8,7515.54,Em Operação
CH-10087,EQP-114,Caminhão Heavy Duty,Cuiabá,2026-01-21 02:00:00,72,45.1,10371.35,Em Operação
CH-10088,EQP-299,Trator Agro,Cuiabá,2026-06-27 02:00:00,24,33.5,4350.5,Em Operação
CH-10089,EQP-289,Escavadeira Linha Amarela,Cuiabá,2026-06-10 14:00:00,48,38.6,7949.3,Em Operação
CH-10090,EQP-139,Escavadeira Linha Amarela,Ribeirão Preto,2026-01-07 05:00:00,48,20.4,4397.32,Em Operação
CH-10091,EQP-181,Utilitário Leve,Uberlândia,2026-03-11 16:00:00,48,30.1,7521.47,Em Operação
CH-10092,EQP-210,Caminhão Heavy Duty,Ribeirão Preto,2026-05-07 11:00:00,72,49.1,10652.25,Em Operação
CH-10093,EQP-152,Escavadeira Linha Amarela,Mogi das Cruzes,2026-05-23 21:00:00,24,15.2,3006.88,Em Operação
CH-10094,EQP-123,Escavadeira Linha Amarela,Cuiabá,2026-06-09 19:00:00,48,49.2,5029.63,Em Operação
CH-10095,EQP-253,Caminhão Heavy Duty,Ribeirão Preto,2026-05-28 10:00:00,24,26.9,11921.2,Em Operação
CH-10096,EQP-287,Trator Agro,Ribeirão Preto,2026-05-23 03:00:00,48,5.4,10462.12,Em Operação
CH-10097,EQP-223,Trator Agro,Mogi das Cruzes,2026-06-25 05:00:00,72,0.7,6906.29,Em Operação
CH-10098,EQP-140,Utilitário Leve,Jundiaí,2026-05-29 00:00:00,72,13.5,6344.54,Em Operação
CH-10099,EQP-256,Trator Agro,Uberlândia,2026-06-19 19:00:00,24,23.7,3629.82,Em Operação
CH-10100,EQP-114,Caminhão Heavy Duty,Jundiaí,2026-06-03 22:00:00,72,54.9,6351.35,Em Operação
CH-10101,EQP-144,Escavadeira Linha Amarela,Cuiabá,2026-04-30 15:00:00,72,4.1,10223.72,Em Manutenção
CH-10102,EQP-164,Trator Agro,Ribeirão Preto,2026-05-08 14:00:00,24,48.3,8316.54,Em Operação
CH-10103,EQP-188,Utilitário Leve,Mogi das Cruzes,2026-05-22 16:00:00,48,59.6,3693.52,Em Operação
CH-10104,EQP-170,Trator Agro,Mogi das Cruzes,2026-02-26 07:00:00,72,4.9,2657.13,Em Operação
CH-10105,EQP-108,Caminhão Heavy Duty,Uberlândia,2026-06-14 11:00:00,24,57.2,3402.94,Em Operação
CH-10106,EQP-187,Utilitário Leve,Jundiaí,2026-02-27 21:00:00,72,142.9,2286.18,Em Operação
CH-10107,EQP-228,Trator Agro,Uberlândia,2026-01-21 20:00:00,72,38.9,1419.0,Em Operação
CH-10108,EQP-235,Utilitário Leve,Ribeirão Preto,2026-03-23 09:00:00,72,46.1,5203.89,Em Operação
CH-10109,EQP-162,Caminhão Heavy Duty,Uberlândia,2026-03-10 14:00:00,72,155.6,1625.61,Em Operação
CH-10110,EQP-238,Escavadeira Linha Amarela,Mogi das Cruzes,2026-05-11 08:00:00,24,27.9,2311.38,Em Operação
CH-10111,EQP-180,Caminhão Heavy Duty,Mogi das Cruzes,2026-03-28 01:00:00,24,11.0,6703.7,Em Manutenção
CH-10112,EQP-235,Caminhão Heavy Duty,Cuiabá,2026-06-14 04:00:00,24,54.5,2225.81,Em Operação
CH-10113,EQP-262,Caminhão Heavy Duty,Cuiabá,2026-02-18 05:00:00,72,28.6,1047.39,Em Operação
CH-10114,EQP-262,Caminhão Heavy Duty,Ribeirão Preto,2026-05-27 06:00:00,72,26.1,4013.45,Em Operação
CH-10115,EQP-132,Escavadeira Linha Amarela,Jundiaí,2026-04-25 20:00:00,72,8.8,2877.73,Em Operação
CH-10116,EQP-222,Escavadeira Linha Amarela,Uberlândia,2026-03-30 00:00:00,24,42.4,6329.07,Em Operação
CH-10117,EQP-104,Utilitário Leve,Ribeirão Preto,2026-03-26 22:00:00,72,2.6,1497.69,Em Operação
CH-10118,EQP-140,Trator Agro,Cuiabá,2026-05-08 06:00:00,48,77.4,9095.72,Em Manutenção
CH-10119,EQP-127,Escavadeira Linha Amarela,Uberlândia,2026-05-20 19:00:00,72,11.8,10902.93,Em Operação
CH-10120,EQP-234,Escavadeira Linha Amarela,Cuiabá,2026-06-18 11:00:00,48,4.1,8998.19,Em Operação
CH-10121,EQP-171,Trator Agro,Uberlândia,2026-06-10 15:00:00,72,17.5,6534.08,Em Operação
CH-10122,EQP-111,Escavadeira Linha Amarela,Jundiaí,2026-06-27 15:00:00,24,1.3,10369.81,Em Operação
CH-10123,EQP-261,Caminhão Heavy Duty,Ribeirão Preto,2026-04-27 10:00:00,72,34.6,8430.55,Em Operação
CH-10124,EQP-132,Caminhão Heavy Duty,Uberlândia,2026-05-07 20:00:00,48,69.9,423.45,Em Operação
CH-10125,EQP-147,Trator Agro,Mogi das Cruzes,2026-03-12 03:00:00,48,54.5,4910.85,Em Operação
CH-10126,EQP-250,Utilitário Leve,Mogi das Cruzes,2026-03-27 12:00:00,72,4.1,10256.14,Em Operação
CH-10127,EQP-161,Utilitário Leve,Uberlândia,2026-02-02 06:00:00,48,4.0,4346.55,Em Operação
CH-10128,EQP-136,Trator Agro,Uberlândia,2026-03-22 03:00:00,48,50.4,712.02,Em Manutenção
CH-10129,EQP-198,Trator Agro,Uberlândia,2026-06-01 14:00:00,24,77.4,9030.3,Em Operação
CH-10130,EQP-271,Caminhão Heavy Duty,Mogi das Cruzes,2026-03-02 18:00:00,72,18.5,9683.85,Em Operação
CH-10131,EQP-203,Utilitário Leve,Mogi das Cruzes,2026-03-02 08:00:00,72,20.7,2178.95,Em Operação
CH-10132,EQP-134,Escavadeira Linha Amarela,Uberlândia,2026-04-08 10:00:00,72,11.5,6586.88,Em Operação
CH-10133,EQP-292,Caminhão Heavy Duty,Cuiabá,2026-01-28 07:00:00,48,67.4,2545.88,Em Operação
CH-10134,EQP-200,Trator Agro,Cuiabá,2026-02-12 00:00:00,72,31.1,8715.04,Em Operação
CH-10135,EQP-274,Utilitário Leve,Jundiaí,2026-06-18 22:00:00,72,10.2,3477.14,Em Manutenção
CH-10136,EQP-230,Escavadeira Linha Amarela,Ribeirão Preto,2026-06-16 07:00:00,24,10.6,3999.72,Em Operação
CH-10137,EQP-100,Escavadeira Linha Amarela,Cuiabá,2026-03-27 12:00:00,24,66.5,10186.16,Em Operação
CH-10138,EQP-104,Caminhão Heavy Duty,Mogi das Cruzes,2026-06-26 21:00:00,24,0.4,5872.97,Em Operação
CH-10139,EQP-241,Utilitário Leve,Cuiabá,2026-01-17 03:00:00,48,11.7,8136.13,Em Operação
CH-10140,EQP-202,Utilitário Leve,Jundiaí,2026-04-08 07:00:00,72,24.2,5007.76,Em Operação
CH-10141,EQP-126,Trator Agro,Jundiaí,2026-04-08 02:00:00,24,4.8,3786.68,Em Operação
CH-10142,EQP-236,Utilitário Leve,Ribeirão Preto,2026-03-06 08:00:00,24,2.9,7618.09,Em Operação
CH-10143,EQP-114,Utilitário Leve,Cuiabá,2026-03-15 01:00:00,24,50.7,2111.83,Em Operação
CH-10144,EQP-189,Caminhão Heavy Duty,Mogi das Cruzes,2026-03-26 01:00:00,72,67.4,4664.1,Em Manutenção
CH-10145,EQP-141,Utilitário Leve,Mogi das Cruzes,2026-01-05 12:00:00,72,52.1,2745.73,Em Operação
CH-10146,EQP-223,Escavadeira Linha Amarela,Uberlândia,2026-01-02 14:00:00,72,68.7,8440.8,Em Operação
CH-10147,EQP-278,Caminhão Heavy Duty,Mogi das Cruzes,2026-01-22 22:00:00,48,24.2,11347.24,Em Manutenção
CH-10148,EQP-162,Caminhão Heavy Duty,Ribeirão Preto,2026-04-22 11:00:00,48,50.2,11947.48,Em Operação
CH-10149,EQP-195,Trator Agro,Ribeirão Preto,2026-02-26 03:00:00,24,14.5,5568.24,Em Operação
CH-10150,EQP-151,Utilitário Leve,Mogi das Cruzes,2026-03-07 07:00:00,72,32.9,3254.61,Em Manutenção
CH-10151,EQP-195,Trator Agro,Mogi das Cruzes,2026-03-15 08:00:00,24,134.9,5481.1,Em Operação
CH-10152,EQP-231,Escavadeira Linha Amarela,Uberlândia,2026-04-08 22:00:00,72,7.7,10213.05,Em Operação
CH-10153,EQP-250,Caminhão Heavy Duty,Mogi das Cruzes,2026-05-24 04:00:00,72,14.8,2710.27,Em Operação
CH-10154,EQP-242,Caminhão Heavy Duty,Uberlândia,2026-04-22 19:00:00,72,19.6,11439.52,Em Operação
CH-10155,EQP-270,Caminhão Heavy Duty,Uberlândia,2026-06-28 17:00:00,48,4.5,4299.83,Em Operação
CH-10156,EQP-128,Escavadeira Linha Amarela,Mogi das Cruzes,2026-05-05 10:00:00,48,2.5,11833.9,Em Operação
CH-10157,EQP-135,Escavadeira Linha Amarela,Jundiaí,2026-06-16 14:00:00,72,53.1,10111.72,Em Operação
CH-10158,EQP-112,Trator Agro,Jundiaí,2026-03-27 21:00:00,24,112.9,9760.28,Em Operação
CH-10159,EQP-259,Trator Agro,Uberlândia,2026-03-17 08:00:00,72,15.6,4019.48,Em Operação
CH-10160,EQP-170,Trator Agro,Mogi das Cruzes,2026-03-29 16:00:00,72,2.8,402.69,Em Operação
CH-10161,EQP-286,Utilitário Leve,Jundiaí,2026-06-17 11:00:00,24,2.0,4770.96,Em Manutenção
CH-10162,EQP-185,Caminhão Heavy Duty,Mogi das Cruzes,2026-02-07 06:00:00,72,66.6,3831.17,Em Operação
CH-10163,EQP-127,Caminhão Heavy Duty,Mogi das Cruzes,2026-02-28 09:00:00,24,18.7,737.54,Em Manutenção
CH-10164,EQP-165,Trator Agro,Mogi das Cruzes,2026-05-18 09:00:00,48,11.6,6212.77,Em Operação
CH-10165,EQP-269,Caminhão Heavy Duty,Cuiabá,2026-04-09 12:00:00,48,19.4,5015.47,Em Operação
CH-10166,EQP-144,Trator Agro,Mogi das Cruzes,2026-03-04 18:00:00,24,11.5,7724.31,Em Operação
CH-10167,EQP-161,Utilitário Leve,Cuiabá,2026-02-18 10:00:00,48,20.1,7567.88,Em Operação
CH-10168,EQP-284,Utilitário Leve,Uberlândia,2026-02-01 12:00:00,48,58.9,1712.74,Em Operação
CH-10169,EQP-233,Escavadeira Linha Amarela,Jundiaí,2026-05-15 20:00:00,24,26.9,11730.5,Em Operação
CH-10170,EQP-127,Utilitário Leve,Jundiaí,2026-01-21 07:00:00,48,35.6,2487.1,Em Operação
CH-10171,EQP-127,Trator Agro,Jundiaí,2026-01-20 07:00:00,72,13.6,5509.71,Em Operação
CH-10172,EQP-207,Utilitário Leve,Jundiaí,2026-06-03 03:00:00,72,40.2,6010.98,Em Operação
CH-10173,EQP-143,Escavadeira Linha Amarela,Jundiaí,2026-05-07 14:00:00,24,33.0,9812.83,Em Operação
CH-10174,EQP-183,Caminhão Heavy Duty,Jundiaí,2026-03-09 10:00:00,48,3.8,1460.99,Em Operação
CH-10175,EQP-129,Trator Agro,Jundiaí,2026-04-20 10:00:00,72,25.5,5315.14,Em Operação
CH-10176,EQP-289,Caminhão Heavy Duty,Uberlândia,2026-04-26 00:00:00,72,8.9,7653.48,Em Operação
CH-10177,EQP-174,Escavadeira Linha Amarela,Mogi das Cruzes,2026-05-23 16:00:00,48,48.9,2817.32,Em Operação
CH-10178,EQP-227,Escavadeira Linha Amarela,Ribeirão Preto,2026-04-30 14:00:00,48,16.7,7641.37,Em Operação
CH-10179,EQP-191,Escavadeira Linha Amarela,Cuiabá,2026-03-20 19:00:00,72,157.1,11106.88,Em Manutenção
CH-10180,EQP-289,Caminhão Heavy Duty,Ribeirão Preto,2026-04-26 05:00:00,72,2.9,11970.96,Em Operação
CH-10181,EQP-228,Caminhão Heavy Duty,Ribeirão Preto,2026-04-02 21:00:00,24,45.5,679.68,Em Operação
CH-10182,EQP-220,Caminhão Heavy Duty,Mogi das Cruzes,2026-01-14 14:00:00,24,33.6,3056.38,Em Operação
CH-10183,EQP-126,Caminhão Heavy Duty,Mogi das Cruzes,2026-06-04 08:00:00,72,43.8,3930.59,Em Manutenção
CH-10184,EQP-289,Escavadeira Linha Amarela,Mogi das Cruzes,2026-05-05 13:00:00,24,11.0,4969.78,Em Operação
CH-10185,EQP-220,Escavadeira Linha Amarela,Jundiaí,2026-06-17 17:00:00,72,20.3,3134.41,Em Manutenção
CH-10186,EQP-215,Trator Agro,Uberlândia,2026-02-27 16:00:00,72,47.8,2680.81,Em Operação
CH-10187,EQP-102,Trator Agro,Jundiaí,2026-01-28 17:00:00,24,7.9,11468.28,Em Operação
CH-10188,EQP-202,Caminhão Heavy Duty,Uberlândia,2026-01-26 04:00:00,24,7.7,11046.7,Em Manutenção
CH-10189,EQP-297,Utilitário Leve,Uberlândia,2026-04-23 19:00:00,48,24.0,849.81,Em Operação
CH-10190,EQP-299,Utilitário Leve,Ribeirão Preto,2026-03-07 19:00:00,48,22.2,4264.11,Em Operação
CH-10191,EQP-254,Escavadeira Linha Amarela,Ribeirão Preto,2026-06-02 08:00:00,48,9.9,5040.24,Em Operação
CH-10192,EQP-236,Escavadeira Linha Amarela,Uberlândia,2026-05-11 10:00:00,72,10.6,3096.47,Em Manutenção
CH-10193,EQP-161,Escavadeira Linha Amarela,Uberlândia,2026-02-13 21:00:00,24,9.8,7657.81,Em Operação
CH-10194,EQP-264,Trator Agro,Jundiaí,2026-04-07 00:00:00,72,44.3,7792.45,Em Operação
CH-10195,EQP-150,Trator Agro,Jundiaí,2026-02-11 17:00:00,24,31.7,10250.9,Em Operação
CH-10196,EQP-271,Escavadeira Linha Amarela,Ribeirão Preto,2026-01-06 05:00:00,72,53.6,8968.17,Em Operação
CH-10197,EQP-251,Escavadeira Linha Amarela,Mogi das Cruzes,2026-06-16 01:00:00,48,111.2,6648.11,Em Manutenção
CH-10198,EQP-158,Escavadeira Linha Amarela,Uberlândia,2026-06-29 14:00:00,48,19.3,7946.97,Em Operação
CH-10199,EQP-217,Utilitário Leve,Jundiaí,2026-01-23 20:00:00,48,2.1,3505.67,Em Operação
CH-10200,EQP-259,Trator Agro,Ribeirão Preto,2026-03-30 13:00:00,72,1.5,7238.76,Em Manutenção
CH-10201,EQP-195,Utilitário Leve,Jundiaí,2026-05-03 04:00:00,24,10.5,6023.96,Em Operação
CH-10202,EQP-279,Utilitário Leve,Uberlândia,2026-06-27 05:00:00,24,80.9,1860.13,Em Operação
CH-10203,EQP-212,Escavadeira Linha Amarela,Uberlândia,2026-06-20 05:00:00,48,22.2,3137.77,Em Operação
CH-10204,EQP-161,Escavadeira Linha Amarela,Cuiabá,2026-05-27 21:00:00,48,9.5,3712.81,Em Operação
CH-10205,EQP-285,Caminhão Heavy Duty,Mogi das Cruzes,2026-02-20 17:00:00,48,15.3,11114.42,Em Operação
CH-10206,EQP-151,Caminhão Heavy Duty,Cuiabá,2026-01-11 13:00:00,48,27.4,2995.52,Em Operação
CH-10207,EQP-111,Utilitário Leve,Ribeirão Preto,2026-01-12 09:00:00,24,31.7,3684.15,Em Operação
CH-10208,EQP-138,Trator Agro,Jundiaí,2026-03-15 13:00:00,72,5.0,4621.44,Em Operação
CH-10209,EQP-229,Escavadeira Linha Amarela,Ribeirão Preto,2026-01-08 12:00:00,72,113.2,8065.79,Em Operação
CH-10210,EQP-230,Escavadeira Linha Amarela,Uberlândia,2026-06-01 02:00:00,72,23.6,1683.39,Em Operação
CH-10211,EQP-212,Utilitário Leve,Cuiabá,2026-02-10 05:00:00,72,4.4,11461.16,Em Operação
CH-10212,EQP-200,Caminhão Heavy Duty,Cuiabá,2026-06-13 07:00:00,48,67.2,10427.18,Em Operação
CH-10213,EQP-212,Trator Agro,Cuiabá,2026-03-26 11:00:00,48,2.3,7053.43,Em Manutenção
CH-10214,EQP-283,Caminhão Heavy Duty,Ribeirão Preto,2026-03-13 12:00:00,48,71.5,8186.24,Em Operação
CH-10215,EQP-180,Caminhão Heavy Duty,Uberlândia,2026-02-24 10:00:00,72,170.2,494.93,Em Operação
CH-10216,EQP-286,Caminhão Heavy Duty,Jundiaí,2026-05-17 11:00:00,48,36.2,4265.65,Em Operação
CH-10217,EQP-212,Caminhão Heavy Duty,Jundiaí,2026-02-16 00:00:00,48,44.1,9609.22,Em Operação
CH-10218,EQP-101,Escavadeira Linha Amarela,Ribeirão Preto,2026-05-23 16:00:00,24,12.3,1206.55,Em Operação
CH-10219,EQP-229,Escavadeira Linha Amarela,Cuiabá,2026-06-25 15:00:00,24,85.2,3603.07,Em Operação
CH-10220,EQP-153,Caminhão Heavy Duty,Mogi das Cruzes,2026-04-14 10:00:00,48,22.6,7147.97,Em Operação
CH-10221,EQP-186,Trator Agro,Ribeirão Preto,2026-02-11 12:00:00,24,39.5,3300.03,Em Manutenção
CH-10222,EQP-228,Utilitário Leve,Ribeirão Preto,2026-03-01 17:00:00,24,77.4,11227.54,Em Operação
CH-10223,EQP-246,Trator Agro,Uberlândia,2026-01-12 10:00:00,48,110.9,1833.39,Em Operação
CH-10224,EQP-225,Trator Agro,Jundiaí,2026-05-10 11:00:00,48,53.7,9629.51,Em Operação
